dataset,match_id,slug,source_url,start_date,team1,team2,map_number,map_name,status,winner,loser,winner_score,loser_score,rounds_count,begin_at,veto_sequence,veto_source_note
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,Complexity,OG,1,de_ancient,finished,OG,Complexity,13,3,16,2025-06-03T15:34:04.000+00:00,OG remove Train | OG remove Anubis | Complexity remove Mirage | Complexity remove Dust2 | Complexity remove Nuke | OG remove Inferno | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88489,heroic-vs-chinggis-warriors-03-06-2025,https://bo3.gg/matches/heroic-vs-chinggis-warriors-03-06-2025,2025-06-03T15:30:00.000+00:00,HEROIC,Chinggis Warriors,1,de_anubis,finished,HEROIC,Chinggis Warriors,13,7,20,2025-06-03T15:34:00.000+00:00,Chinggis Warriors remove Mirage | Chinggis Warriors remove Dust2 | HEROIC remove Inferno | HEROIC remove Nuke | HEROIC remove Ancient | Chinggis Warriors remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88488,b8-vs-imperial-03-06-2025,https://bo3.gg/matches/b8-vs-imperial-03-06-2025,2025-06-03T16:15:00.000+00:00,B8,Imperial,1,de_inferno,finished,B8,Imperial,13,11,24,2025-06-03T16:18:11.000+00:00,Imperial remove Ancient | Imperial remove Mirage | B8 remove Nuke | B8 remove Dust2 | B8 remove Train | Imperial remove Anubis | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88487,betboom-team-vs-nemiga-03-06-2025,https://bo3.gg/matches/betboom-team-vs-nemiga-03-06-2025,2025-06-03T16:30:00.000+00:00,BetBoom,Nemiga,1,de_train,finished,BetBoom,Nemiga,13,7,20,2025-06-03T16:34:21.000+00:00,BetBoom remove Inferno | BetBoom remove Dust2 | Nemiga remove Mirage | Nemiga remove Nuke | Nemiga remove Anubis | BetBoom remove Ancient | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88486,tyloo-cs-go-vs-nrg-03-06-2025,https://bo3.gg/matches/tyloo-cs-go-vs-nrg-03-06-2025,2025-06-03T17:40:00.000+00:00,TYLOO,NRG,1,de_anubis,finished,NRG,Tyloo,13,5,18,2025-06-03T17:40:21.000+00:00,NRG remove Inferno | NRG remove Ancient | TYLOO remove Dust2 | TYLOO remove Mirage | TYLOO remove Train | NRG remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89909,lynn-vision-vs-legacy-br-03-06-2025,https://bo3.gg/matches/lynn-vision-vs-legacy-br-03-06-2025,2025-06-03T17:45:00.000+00:00,Lynn Vision,Legacy,1,de_dust2,finished,Lynn Vision,Legacy,13,7,20,2025-06-03T17:51:51.000+00:00,Legacy remove Train | Legacy remove Nuke | Lynn Vision remove Mirage | Lynn Vision remove Inferno | Lynn Vision remove Anubis | Legacy remove Ancient | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89911,wildcard-gaming-vs-metizport-03-06-2025,https://bo3.gg/matches/wildcard-gaming-vs-metizport-03-06-2025,2025-06-03T18:35:00.000+00:00,Wildcard,Metizport,1,de_inferno,finished,Wildcard,Metizport,13,1,14,2025-06-03T18:35:52.000+00:00,Metizport remove Train | Metizport remove Nuke | Wildcard remove Ancient | Wildcard remove Mirage | Wildcard remove Dust2 | Metizport remove Anubis | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89910,flyquest-vs-fluxo-03-06-2025,https://bo3.gg/matches/flyquest-vs-fluxo-03-06-2025,2025-06-03T18:54:24.000+00:00,FlyQuest,Fluxo,1,de_ancient,finished,Flyquest,Fluxo,13,7,20,2025-06-03T18:54:24.000+00:00,FlyQuest remove Train | FlyQuest remove Nuke | Fluxo remove Anubis | Fluxo remove Dust2 | Fluxo remove Mirage | FlyQuest remove Inferno | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88538,heroic-vs-nrg-03-06-2025,https://bo3.gg/matches/heroic-vs-nrg-03-06-2025,2025-06-03T20:30:00.000+00:00,HEROIC,NRG,1,de_dust2,finished,HEROIC,NRG,13,5,18,2025-06-03T20:36:46.000+00:00,NRG remove Ancient | NRG remove Nuke | HEROIC remove Inferno | HEROIC remove Train | HEROIC remove Anubis | NRG remove Mirage | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88537,b8-vs-og-03-06-2025,https://bo3.gg/matches/b8-vs-og-03-06-2025,2025-06-03T20:35:00.000+00:00,B8,OG,1,de_inferno,finished,B8,OG,13,9,22,2025-06-03T20:36:13.000+00:00,OG remove Train | OG remove Mirage | B8 remove Nuke | B8 remove Anubis | B8 remove Ancient | OG remove Dust2 | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88542,lynn-vision-vs-wildcard-gaming-03-06-2025,https://bo3.gg/matches/lynn-vision-vs-wildcard-gaming-03-06-2025,2025-06-03T21:25:00.000+00:00,Lynn Vision,Wildcard,1,de_nuke,finished,Wildcard,Lynn Vision,19,17,36,2025-06-03T21:27:19.000+00:00,Wildcard remove Dust2 | Wildcard remove Train | Lynn Vision remove Mirage | Lynn Vision remove Inferno | Lynn Vision remove Ancient | Wildcard remove Anubis | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88539,betboom-team-vs-flyquest-03-06-2025,https://bo3.gg/matches/betboom-team-vs-flyquest-03-06-2025,2025-06-03T21:41:35.000+00:00,BetBoom,FlyQuest,1,de_mirage,finished,Flyquest,BetBoom,13,6,19,2025-06-03T21:41:35.000+00:00,FlyQuest remove Train | FlyQuest remove Anubis | BetBoom remove Inferno | BetBoom remove Dust2 | BetBoom remove Ancient | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88540,complexity-vs-fluxo-03-06-2025,https://bo3.gg/matches/complexity-vs-fluxo-03-06-2025,2025-06-03T22:35:00.000+00:00,Complexity,Fluxo,1,de_inferno,finished,Complexity Gaming,Fluxo,13,9,22,2025-06-03T22:38:53.000+00:00,Fluxo remove Anubis | Fluxo remove Train | Complexity remove Dust2 | Complexity remove Mirage | Complexity remove Nuke | Fluxo remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88544,chinggis-warriors-vs-legacy-br-03-06-2025,https://bo3.gg/matches/chinggis-warriors-vs-legacy-br-03-06-2025,2025-06-03T22:54:36.000+00:00,Chinggis Warriors,Legacy,1,de_nuke,finished,Legacy,Chinggis Warriors,13,10,23,2025-06-03T22:54:36.000+00:00,Chinggis Warriors remove Inferno | Chinggis Warriors remove Dust2 | Legacy remove Train | Legacy remove Ancient | Legacy remove Anubis | Chinggis Warriors remove Mirage | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88543,imperial-vs-nemiga-03-06-2025,https://bo3.gg/matches/imperial-vs-nemiga-03-06-2025,2025-06-03T23:40:00.000+00:00,Imperial,Nemiga,1,de_train,finished,Nemiga,Imperial Esports,13,9,22,2025-06-03T23:41:31.000+00:00,Nemiga remove Nuke | Nemiga remove Mirage | Imperial remove Ancient | Imperial remove Dust2 | Imperial remove Inferno | Nemiga remove Anubis | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88541,tyloo-cs-go-vs-metizport-04-06-2025,https://bo3.gg/matches/tyloo-cs-go-vs-metizport-04-06-2025,2025-06-04T00:15:00.000+00:00,TYLOO,Metizport,1,de_mirage,finished,Tyloo,Metizport,13,4,17,2025-06-04T00:15:16.000+00:00,Metizport remove Train | Metizport remove Inferno | TYLOO remove Dust2 | TYLOO remove Nuke | TYLOO remove Ancient | Metizport remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88545,betboom-team-vs-legacy-br-04-06-2025,https://bo3.gg/matches/betboom-team-vs-legacy-br-04-06-2025,2025-06-04T15:00:00.000+00:00,BetBoom,Legacy,1,de_anubis,finished,BetBoom,Legacy,13,3,16,2025-06-04T15:03:26.000+00:00,Legacy remove Train | Legacy remove Nuke | BetBoom remove Inferno | BetBoom remove Dust2 | BetBoom remove Ancient | Legacy remove Mirage | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88546,nrg-vs-complexity-04-06-2025,https://bo3.gg/matches/nrg-vs-complexity-04-06-2025,2025-06-04T15:00:00.000+00:00,NRG,Complexity,1,de_inferno,finished,NRG,Complexity Gaming,13,9,22,2025-06-04T15:03:06.000+00:00,Complexity remove Mirage | Complexity remove Dust2 | NRG remove Ancient | NRG remove Anubis | NRG remove Nuke | Complexity remove Train | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88548,og-vs-tyloo-cs-go-04-06-2025,https://bo3.gg/matches/og-vs-tyloo-cs-go-04-06-2025,2025-06-04T15:55:00.000+00:00,OG,TYLOO,1,de_ancient,finished,OG,Tyloo,13,4,17,2025-06-04T16:00:44.000+00:00,TYLOO remove Dust2 | TYLOO remove Nuke | OG remove Train | OG remove Mirage | OG remove Inferno | TYLOO remove Anubis | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88547,lynn-vision-vs-nemiga-04-06-2025,https://bo3.gg/matches/lynn-vision-vs-nemiga-04-06-2025,2025-06-04T16:00:00.000+00:00,Lynn Vision,Nemiga,1,de_dust2,finished,Nemiga,Lynn Vision,13,10,23,2025-06-04T16:00:48.000+00:00,Nemiga remove Nuke | Nemiga remove Anubis | Lynn Vision remove Mirage | Lynn Vision remove Train | Lynn Vision remove Ancient | Nemiga remove Inferno | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88550,heroic-vs-flyquest-04-06-2025,https://bo3.gg/matches/heroic-vs-flyquest-04-06-2025,2025-06-04T16:45:00.000+00:00,HEROIC,FlyQuest,1,de_ancient,finished,HEROIC,Flyquest,13,7,20,2025-06-04T16:48:34.000+00:00,FlyQuest remove Train | HEROIC remove Inferno | FlyQuest pick Ancient | HEROIC pick Anubis | HEROIC remove Dust2 | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88550,heroic-vs-flyquest-04-06-2025,https://bo3.gg/matches/heroic-vs-flyquest-04-06-2025,2025-06-04T16:45:00.000+00:00,HEROIC,FlyQuest,2,de_anubis,finished,Flyquest,HEROIC,13,11,24,2025-06-04T17:43:42.000+00:00,FlyQuest remove Train | HEROIC remove Inferno | FlyQuest pick Ancient | HEROIC pick Anubis | HEROIC remove Dust2 | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88550,heroic-vs-flyquest-04-06-2025,https://bo3.gg/matches/heroic-vs-flyquest-04-06-2025,2025-06-04T16:45:00.000+00:00,HEROIC,FlyQuest,3,de_mirage,finished,HEROIC,Flyquest,13,6,19,2025-06-04T18:47:59.000+00:00,FlyQuest remove Train | HEROIC remove Inferno | FlyQuest pick Ancient | HEROIC pick Anubis | HEROIC remove Dust2 | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88549,b8-vs-wildcard-gaming-04-06-2025,https://bo3.gg/matches/b8-vs-wildcard-gaming-04-06-2025,2025-06-04T17:00:00.000+00:00,B8,Wildcard,1,de_train,finished,Wildcard,B8,16,14,30,2025-06-04T17:03:44.000+00:00,Wildcard remove Mirage | B8 remove Nuke | Wildcard pick Train | B8 pick Dust2 | B8 remove Anubis | Wildcard remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88549,b8-vs-wildcard-gaming-04-06-2025,https://bo3.gg/matches/b8-vs-wildcard-gaming-04-06-2025,2025-06-04T17:00:00.000+00:00,B8,Wildcard,2,de_dust2,finished,B8,Wildcard,13,6,19,2025-06-04T18:21:00.000+00:00,Wildcard remove Mirage | B8 remove Nuke | Wildcard pick Train | B8 pick Dust2 | B8 remove Anubis | Wildcard remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88549,b8-vs-wildcard-gaming-04-06-2025,https://bo3.gg/matches/b8-vs-wildcard-gaming-04-06-2025,2025-06-04T17:00:00.000+00:00,B8,Wildcard,3,de_inferno,finished,B8,Wildcard,13,2,15,2025-06-04T19:14:26.000+00:00,Wildcard remove Mirage | B8 remove Nuke | Wildcard pick Train | B8 pick Dust2 | B8 remove Anubis | Wildcard remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88551,imperial-vs-metizport-04-06-2025,https://bo3.gg/matches/imperial-vs-metizport-04-06-2025,2025-06-04T19:40:00.000+00:00,Imperial,Metizport,1,de_nuke,finished,Imperial Esports,Metizport,16,13,29,2025-06-04T19:43:05.000+00:00,Metizport remove Train | Imperial remove Ancient | Metizport pick Nuke | Imperial pick Dust2 | Imperial remove Anubis | Metizport remove Inferno | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
