dataset,match_id,slug,source_url,start_date,order,team_id,team,opponent,action,choice_type,map,map_name,game_id,map_won,match_won,reward,source_note
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,1,395,OG,Complexity,ban,2,Train,de_train,,,true,1.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,2,395,OG,Complexity,ban,2,Anubis,de_anubis,,,true,1.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,3,703,Complexity,OG,ban,2,Mirage,de_mirage,,,false,0.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,4,703,Complexity,OG,ban,2,Dust2,de_dust2,,,false,0.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,5,703,Complexity,OG,ban,2,Nuke,de_nuke,,,false,0.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,6,395,OG,Complexity,ban,2,Inferno,de_inferno,,,true,1.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,7,,,,leftover,3,Ancient,de_ancient,128694,,,0.500,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88489,heroic-vs-chinggis-warriors-03-06-2025,https://bo3.gg/matches/heroic-vs-chinggis-warriors-03-06-2025,2025-06-03T15:30:00.000+00:00,1,9974,Chinggis Warriors,HEROIC,ban,2,Mirage,de_mirage,,,false,0.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88489,heroic-vs-chinggis-warriors-03-06-2025,https://bo3.gg/matches/heroic-vs-chinggis-warriors-03-06-2025,2025-06-03T15:30:00.000+00:00,2,9974,Chinggis Warriors,HEROIC,ban,2,Dust2,de_dust2,,,false,0.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88489,heroic-vs-chinggis-warriors-03-06-2025,https://bo3.gg/matches/heroic-vs-chinggis-warriors-03-06-2025,2025-06-03T15:30:00.000+00:00,3,759,HEROIC,Chinggis Warriors,ban,2,Inferno,de_inferno,,,true,1.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
blast_austin_major_2025,88489,heroic-vs-chinggis-warriors-03-06-2025,https://bo3.gg/matches/heroic-vs-chinggis-warriors-03-06-2025,2025-06-03T15:30:00.000+00:00,4,759,HEROIC,Chinggis Warriors,ban,2,Nuke,de_nuke,,,true,1.000,"BO3 match detail endpoint match_maps; choice_type 1=pick, 2=ban/remove, 3=leftover/decider."
