team,map,maps,wins,raw_win_rate,smoothed_win_rate,avg_round_margin,avg_scoreline_quality,overtime_count,close_loss_count,vrs_tier_map_strength,vrs_tier_map_smoothed_win_rate,vrs_tier_map_sample_log,vrs_tier_map_quality,vrs_tier_map_round_margin,vrs_tier_map_overtime_rate,vrs_tier_map_close_loss_rate,vrs_opponent_adjusted_scoreline_quality,vrs_map_win_opponent_quality,vrs_map_win_sample_confidence,vrs_scoreline_sample_confidence,vrs_map_veto_credibility,vrs_map_veto_strength,vrs_pick_ban_opponent_pool_proxy,vrs_bo1_single_map_upset_risk,vrs_bo3_map_depth_strength,vrs_overtime_strong_opponent_signal,vrs_weak_opponent_close_penalty,vrs_recent_strong_opponent_score,vrs_team_volatility,vrs_seed_volatility_rebound,vrs_top10_maps,vrs_top10_wins,vrs_top10_raw_win_rate,vrs_top10_smoothed_win_rate,vrs_top10_avg_round_margin,vrs_top10_avg_scoreline_quality,vrs_top10_overtime_count,vrs_top10_close_loss_count,vrs_top10_map_smoothed_win_rate,vrs_top10_map_quality,vrs_top10_map_sample_log,vrs_top20_maps,vrs_top20_wins,vrs_top20_raw_win_rate,vrs_top20_smoothed_win_rate,vrs_top20_avg_round_margin,vrs_top20_avg_scoreline_quality,vrs_top20_overtime_count,vrs_top20_close_loss_count,vrs_top20_map_smoothed_win_rate,vrs_top20_map_quality,vrs_top20_map_sample_log,vrs_top30_maps,vrs_top30_wins,vrs_top30_raw_win_rate,vrs_top30_smoothed_win_rate,vrs_top30_avg_round_margin,vrs_top30_avg_scoreline_quality,vrs_top30_overtime_count,vrs_top30_close_loss_count,vrs_top30_map_smoothed_win_rate,vrs_top30_map_quality,vrs_top30_map_sample_log,vrs_top40_maps,vrs_top40_wins,vrs_top40_raw_win_rate,vrs_top40_smoothed_win_rate,vrs_top40_avg_round_margin,vrs_top40_avg_scoreline_quality,vrs_top40_overtime_count,vrs_top40_close_loss_count,vrs_top40_map_smoothed_win_rate,vrs_top40_map_quality,vrs_top40_map_sample_log,vrs_top50_maps,vrs_top50_wins,vrs_top50_raw_win_rate,vrs_top50_smoothed_win_rate,vrs_top50_avg_round_margin,vrs_top50_avg_scoreline_quality,vrs_top50_overtime_count,vrs_top50_close_loss_count,vrs_top50_map_smoothed_win_rate,vrs_top50_map_quality,vrs_top50_map_sample_log,vrs_top70_maps,vrs_top70_wins,vrs_top70_raw_win_rate,vrs_top70_smoothed_win_rate,vrs_top70_avg_round_margin,vrs_top70_avg_scoreline_quality,vrs_top70_overtime_count,vrs_top70_close_loss_count,vrs_top70_map_smoothed_win_rate,vrs_top70_map_quality,vrs_top70_map_sample_log,vrs_top100_maps,vrs_top100_wins,vrs_top100_raw_win_rate,vrs_top100_smoothed_win_rate,vrs_top100_avg_round_margin,vrs_top100_avg_scoreline_quality,vrs_top100_overtime_count,vrs_top100_close_loss_count,vrs_top100_map_smoothed_win_rate,vrs_top100_map_quality,vrs_top100_map_sample_log,vrs_bucket_1_10_maps,vrs_bucket_1_10_wins,vrs_bucket_1_10_raw_win_rate,vrs_bucket_1_10_smoothed_win_rate,vrs_bucket_1_10_avg_round_margin,vrs_bucket_1_10_avg_scoreline_quality,vrs_bucket_1_10_overtime_count,vrs_bucket_1_10_close_loss_count,vrs_bucket_11_20_maps,vrs_bucket_11_20_wins,vrs_bucket_11_20_raw_win_rate,vrs_bucket_11_20_smoothed_win_rate,vrs_bucket_11_20_avg_round_margin,vrs_bucket_11_20_avg_scoreline_quality,vrs_bucket_11_20_overtime_count,vrs_bucket_11_20_close_loss_count,vrs_bucket_21_30_maps,vrs_bucket_21_30_wins,vrs_bucket_21_30_raw_win_rate,vrs_bucket_21_30_smoothed_win_rate,vrs_bucket_21_30_avg_round_margin,vrs_bucket_21_30_avg_scoreline_quality,vrs_bucket_21_30_overtime_count,vrs_bucket_21_30_close_loss_count,vrs_bucket_31_40_maps,vrs_bucket_31_40_wins,vrs_bucket_31_40_raw_win_rate,vrs_bucket_31_40_smoothed_win_rate,vrs_bucket_31_40_avg_round_margin,vrs_bucket_31_40_avg_scoreline_quality,vrs_bucket_31_40_overtime_count,vrs_bucket_31_40_close_loss_count,vrs_bucket_41_50_maps,vrs_bucket_41_50_wins,vrs_bucket_41_50_raw_win_rate,vrs_bucket_41_50_smoothed_win_rate,vrs_bucket_41_50_avg_round_margin,vrs_bucket_41_50_avg_scoreline_quality,vrs_bucket_41_50_overtime_count,vrs_bucket_41_50_close_loss_count,vrs_bucket_51_70_maps,vrs_bucket_51_70_wins,vrs_bucket_51_70_raw_win_rate,vrs_bucket_51_70_smoothed_win_rate,vrs_bucket_51_70_avg_round_margin,vrs_bucket_51_70_avg_scoreline_quality,vrs_bucket_51_70_overtime_count,vrs_bucket_51_70_close_loss_count,vrs_bucket_71_100_maps,vrs_bucket_71_100_wins,vrs_bucket_71_100_raw_win_rate,vrs_bucket_71_100_smoothed_win_rate,vrs_bucket_71_100_avg_round_margin,vrs_bucket_71_100_avg_scoreline_quality,vrs_bucket_71_100_overtime_count,vrs_bucket_71_100_close_loss_count
100 Thieves,Ancient,2,0,0.00,11.25,-6.000000,-0.600000,0,0,29.32,11.25,1.098612,-0.600000,-6.000000,0.000000,0.000000,-0.370300,-23.511563,-7.750000,-0.074060,0.500000,36.038078,-0.206843,0.620000,0.000000,0.000000,0.000000,-0.106558,2.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-8.000000,-0.800000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
100 Thieves,Dust2,2,0,0.00,11.25,-7.000000,-0.593750,1,1,31.42,11.25,1.098612,-0.593750,-7.000000,0.500000,0.500000,-0.369719,-23.308125,-7.750000,-0.073944,0.500000,37.456673,-0.185827,0.620000,0.000000,1.500000,0.000000,-0.127798,4.000000,0.000000,0,0,50.00,15.00,-7.000000,-0.593750,0,0,15.00,-0.593750,0.000000,0,0,50.00,15.00,-7.000000,-0.593750,0,0,15.00,-0.593750,0.000000,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,2,0,0.00,11.25,-7.000000,-0.593750,1,1,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0
100 Thieves,Inferno,1,0,0.00,12.86,-6.000000,-0.600000,0,0,32.04,12.86,0.693147,-0.600000,-6.000000,0.000000,0.000000,-0.453600,-20.391429,-3.714286,-0.045360,0.500000,37.877416,-0.179594,0.668571,0.000000,0.000000,0.000000,-0.266128,0.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
100 Thieves,Mirage,1,0,0.00,12.86,-4.000000,-0.400000,0,0,33.07,12.86,0.693147,-0.400000,-4.000000,0.000000,0.000000,-0.254800,-22.211429,-3.714286,-0.025480,0.500000,38.573965,-0.169275,0.668571,0.000000,0.000000,0.000000,-0.183034,0.000000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0
100 Thieves,Nuke,2,0,0.00,11.25,-6.000000,-0.600000,0,0,28.67,11.25,1.098612,-0.600000,-6.000000,0.000000,0.000000,-0.431925,-22.426563,-7.750000,-0.086385,0.500000,35.601213,-0.213315,0.620000,0.000000,0.000000,0.000000,-0.228575,3.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,1,0,0.00,12.86,-3.000000,-0.300000,0,0,12.86,-0.300000,0.693147,1,0,0.00,12.86,-3.000000,-0.300000,0,0,12.86,-0.300000,0.693147,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-3.000000,-0.300000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-9.000000,-0.900000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
1win,Ancient,1,1,100.00,87.14,6.000000,0.600000,0,0,68.43,87.14,0.693147,0.600000,6.000000,0.000000,0.000000,0.688200,21.301429,3.714286,0.068820,0.500000,62.437784,0.184263,0.668571,0.074286,0.000000,0.000000,0.062663,0.000000,0.000000,0,0,50.00,85.00,6.000000,0.600000,0,0,85.00,0.600000,0.000000,0,0,50.00,85.00,6.000000,0.600000,0,0,85.00,0.600000,0.000000,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,1,1,100.00,87.14,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0
1win,Dust2,1,0,0.00,12.86,-2.000000,-0.200000,0,1,34.58,12.86,0.693147,-0.200000,-2.000000,0.000000,1.000000,-0.139300,-21.301429,-3.714286,-0.013930,0.500000,39.590224,-0.154219,0.668571,0.000000,0.500000,0.000000,-0.020888,0.000000,0.000000,0,0,50.00,15.00,-2.000000,-0.200000,0,0,15.00,-0.200000,0.000000,0,0,50.00,15.00,-2.000000,-0.200000,0,0,15.00,-0.200000,0.000000,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,1,0,0.00,12.86,-2.000000,-0.200000,0,1,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0
1win,Overpass,1,0,0.00,12.86,-7.000000,-0.700000,0,0,32.38,12.86,0.693147,-0.700000,-7.000000,0.000000,0.000000,-0.487550,-21.301429,-3.714286,-0.048755,0.500000,38.106733,-0.176197,0.668571,0.000000,0.000000,0.000000,-0.073107,0.000000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,1,0,0.00,12.86,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0
3DMAX,Ancient,5,2,40.00,41.64,-1.200000,-0.142500,1,1,47.22,41.64,1.791759,-0.142500,-1.200000,0.200000,0.200000,0.011930,-4.960473,-4.181818,0.005965,0.500000,48.120820,-0.027840,0.083636,0.000000,1.500000,0.000000,-0.063344,6.241795,0.000000,0,0,50.00,43.00,-1.200000,-0.142500,0,0,43.00,-0.142500,0.000000,3,0,0.00,28.67,-5.666667,-0.566667,0,1,28.67,-0.566667,1.386294,4,1,25.00,35.80,-3.500000,-0.378125,1,1,35.80,-0.378125,1.609438,4,1,25.00,35.80,-3.500000,-0.378125,1,1,35.80,-0.378125,1.609438,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,0,0,50.00,43.00,-1.200000,-0.142500,0,0,3,0,0.00,28.67,-5.666667,-0.566667,0,1,1,1,100.00,51.14,3.000000,0.187500,1,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0,1,1,100.00,51.14,8.000000,0.800000,0,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0
3DMAX,Anubis,1,0,0.00,12.86,-4.000000,-0.400000,0,0,32.79,12.86,0.693147,-0.400000,-4.000000,0.000000,0.000000,-0.268400,-21.691429,-3.714286,-0.026840,0.500000,38.385778,-0.172063,0.668571,0.000000,0.000000,0.000000,-0.272333,0.000000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0
3DMAX,Dust2,4,3,75.00,70.50,-0.250000,-0.043750,1,0,62.92,70.50,1.609438,-0.043750,-0.250000,0.250000,0.000000,0.090881,11.774687,8.200000,0.036352,0.500000,58.721173,0.129203,0.246000,0.164000,0.000000,0.000000,-0.038011,5.673403,0.000000,0,0,50.00,67.50,-0.250000,-0.043750,0,0,67.50,-0.043750,0.000000,2,1,50.00,63.12,-3.000000,-0.300000,0,0,63.12,-0.300000,1.098612,2,1,50.00,63.12,-3.000000,-0.300000,0,0,63.12,-0.300000,1.098612,3,2,66.67,67.22,-1.333333,-0.158333,1,0,67.22,-0.158333,1.386294,4,3,75.00,70.50,-0.250000,-0.043750,1,0,70.50,-0.043750,1.609438,4,3,75.00,70.50,-0.250000,-0.043750,1,0,70.50,-0.043750,1.609438,4,3,75.00,70.50,-0.250000,-0.043750,1,0,70.50,-0.043750,1.609438,0,0,50.00,67.50,-0.250000,-0.043750,0,0,2,1,50.00,63.12,-3.000000,-0.300000,0,0,0,0,50.00,67.50,-0.250000,-0.043750,0,0,1,1,100.00,72.14,2.000000,0.125000,1,0,1,1,100.00,72.14,3.000000,0.300000,0,0,0,0,50.00,67.50,-0.250000,-0.043750,0,0,0,0,50.00,67.50,-0.250000,-0.043750,0,0
3DMAX,Inferno,5,2,40.00,41.64,1.200000,0.120000,0,1,46.25,41.64,1.791759,0.120000,1.200000,0.000000,0.200000,0.249490,-4.937055,-4.181818,0.124745,0.500000,47.471119,-0.037465,0.083636,0.000000,0.000000,0.000000,0.053063,5.418487,0.000000,0,0,50.00,43.00,1.200000,0.120000,0,0,43.00,0.120000,0.000000,3,2,66.67,50.89,4.000000,0.400000,0,0,50.89,0.400000,1.386294,4,2,50.00,45.80,2.000000,0.200000,0,0,45.80,0.200000,1.609438,4,2,50.00,45.80,2.000000,0.200000,0,0,45.80,0.200000,1.609438,5,2,40.00,41.64,1.200000,0.120000,0,1,41.64,0.120000,1.791759,5,2,40.00,41.64,1.200000,0.120000,0,1,41.64,0.120000,1.791759,5,2,40.00,41.64,1.200000,0.120000,0,1,41.64,0.120000,1.791759,0,0,50.00,43.00,1.200000,0.120000,0,0,3,2,66.67,50.89,4.000000,0.400000,0,0,1,0,0.00,36.86,-4.000000,-0.400000,0,0,0,0,50.00,43.00,1.200000,0.120000,0,0,1,0,0.00,36.86,-2.000000,-0.200000,0,1,0,0,50.00,43.00,1.200000,0.120000,0,0,0,0,50.00,43.00,1.200000,0.120000,0,0
3DMAX,Nuke,7,5,71.43,68.46,2.571429,0.246429,1,1,67.87,68.46,2.079442,0.246429,2.571429,0.142857,0.142857,0.340471,10.375385,12.923077,0.238330,0.500000,62.062382,0.178702,0.110769,0.258462,0.000000,0.000000,0.055458,5.653245,0.000000,0,0,50.00,65.00,2.571429,0.246429,0,0,65.00,0.246429,0.000000,3,2,66.67,65.56,0.333333,0.033333,0,0,65.56,0.033333,1.386294,3,2,66.67,65.56,0.333333,0.033333,0,0,65.56,0.033333,1.386294,4,3,75.00,69.00,2.500000,0.250000,0,0,69.00,0.250000,1.609438,7,5,71.43,68.46,2.571429,0.246429,1,1,68.46,0.246429,2.079442,7,5,71.43,68.46,2.571429,0.246429,1,1,68.46,0.246429,2.079442,7,5,71.43,68.46,2.571429,0.246429,1,1,68.46,0.246429,2.079442,0,0,50.00,65.00,2.571429,0.246429,0,0,3,2,66.67,65.56,0.333333,0.033333,0,0,0,0,50.00,65.00,2.571429,0.246429,0,0,1,1,100.00,70.00,9.000000,0.900000,0,0,3,2,66.67,65.56,2.666667,0.241667,1,1,0,0,50.00,65.00,2.571429,0.246429,0,0,0,0,50.00,65.00,2.571429,0.246429,0,0
9INE,Ancient,1,0,0.00,12.86,-7.000000,-0.700000,0,0,32.36,12.86,0.693147,-0.700000,-7.000000,0.000000,0.000000,-0.386400,-23.511429,-3.714286,-0.038640,0.500000,38.092015,-0.176415,0.668571,0.000000,0.000000,0.000000,-0.250447,0.000000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,0,0,50.00,15.00,-7.000000,-0.700000,0,0,1,0,0.00,12.86,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0
9INE,Inferno,2,0,0.00,11.25,-6.500000,-0.650000,0,0,28.99,11.25,1.098612,-0.650000,-6.500000,0.000000,0.000000,-0.391525,-23.782813,-7.750000,-0.078305,0.500000,35.815176,-0.210146,0.620000,0.000000,0.000000,0.000000,-0.185845,0.500000,0.000000,0,0,50.00,15.00,-6.500000,-0.650000,0,0,15.00,-0.650000,0.000000,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,2,0,0.00,11.25,-6.500000,-0.650000,0,0,11.25,-0.650000,1.098612,2,0,0.00,11.25,-6.500000,-0.650000,0,0,11.25,-0.650000,1.098612,2,0,0.00,11.25,-6.500000,-0.650000,0,0,11.25,-0.650000,1.098612,2,0,0.00,11.25,-6.500000,-0.650000,0,0,11.25,-0.650000,1.098612,2,0,0.00,11.25,-6.500000,-0.650000,0,0,11.25,-0.650000,1.098612,0,0,50.00,15.00,-6.500000,-0.650000,0,0,1,0,0.00,12.86,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-6.500000,-0.650000,0,0,0,0,50.00,15.00,-6.500000,-0.650000,0,0,0,0,50.00,15.00,-6.500000,-0.650000,0,0,0,0,50.00,15.00,-6.500000,-0.650000,0,0
9INE,Overpass,1,0,0.00,12.86,-4.000000,-0.400000,0,0,33.22,12.86,0.693147,-0.400000,-4.000000,0.000000,0.000000,-0.248000,-22.471429,-3.714286,-0.024800,0.500000,38.674566,-0.167784,0.668571,0.000000,0.000000,0.000000,-0.134512,0.000000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0
9z,Ancient,3,1,33.33,36.67,-2.000000,-0.200000,0,0,42.14,36.67,1.386294,-0.200000,-2.000000,0.000000,0.000000,-0.094267,-7.475556,-4.000000,-0.028280,0.500000,44.695588,-0.078584,0.186667,0.000000,0.000000,0.000000,-0.023843,4.320494,0.000000,0,0,50.00,38.33,-2.000000,-0.200000,0,0,38.33,-0.200000,0.000000,0,0,50.00,38.33,-2.000000,-0.200000,0,0,38.33,-0.200000,0.000000,1,0,0.00,32.86,-4.000000,-0.400000,0,0,32.86,-0.400000,0.693147,3,1,33.33,36.67,-2.000000,-0.200000,0,0,36.67,-0.200000,1.386294,3,1,33.33,36.67,-2.000000,-0.200000,0,0,36.67,-0.200000,1.386294,3,1,33.33,36.67,-2.000000,-0.200000,0,0,36.67,-0.200000,1.386294,3,1,33.33,36.67,-2.000000,-0.200000,0,0,36.67,-0.200000,1.386294,0,0,50.00,38.33,-2.000000,-0.200000,0,0,0,0,50.00,38.33,-2.000000,-0.200000,0,0,1,0,0.00,32.86,-4.000000,-0.400000,0,0,2,1,50.00,41.25,-1.000000,-0.100000,0,0,0,0,50.00,38.33,-2.000000,-0.200000,0,0,0,0,50.00,38.33,-2.000000,-0.200000,0,0,0,0,50.00,38.33,-2.000000,-0.200000,0,0
