team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
100 Thieves,Ancient,36.04,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Dust2,37.46,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Inferno,37.88,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Mirage,38.57,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Nuke,35.60,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Ancient,62.44,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Dust2,39.59,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Overpass,38.11,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Ancient,48.12,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Anubis,38.39,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Dust2,58.72,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Inferno,47.47,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Nuke,62.06,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Ancient,38.09,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Inferno,35.82,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Overpass,38.67,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Ancient,44.70,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Dust2,39.30,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Inferno,35.46,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Mirage,63.34,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Nuke,41.39,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Overpass,58.27,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Dust2,50.86,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Inferno,62.16,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Mirage,39.59,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Nuke,40.32,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Ancient,38.15,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Dust2,38.70,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Inferno,61.74,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
