team,map,maps,wins,raw_win_rate,smoothed_win_rate,avg_round_margin,avg_scoreline_quality,overtime_count,close_loss_count,vrs_tier_map_strength,vrs_tier_map_smoothed_win_rate,vrs_tier_map_sample_log,vrs_tier_map_quality,vrs_tier_map_round_margin,vrs_tier_map_overtime_rate,vrs_tier_map_close_loss_rate,vrs_opponent_adjusted_scoreline_quality,vrs_map_win_opponent_quality,vrs_map_win_sample_confidence,vrs_scoreline_sample_confidence,vrs_map_veto_credibility,vrs_map_veto_strength,vrs_pick_ban_opponent_pool_proxy,vrs_bo1_single_map_upset_risk,vrs_bo3_map_depth_strength,vrs_overtime_strong_opponent_signal,vrs_weak_opponent_close_penalty,vrs_recent_strong_opponent_score,vrs_expected_margin_residual,vrs_expected_margin_residual_confidence,vrs_team_volatility,vrs_seed_volatility_rebound,vrs_top10_maps,vrs_top10_wins,vrs_top10_raw_win_rate,vrs_top10_smoothed_win_rate,vrs_top10_avg_round_margin,vrs_top10_avg_scoreline_quality,vrs_top10_overtime_count,vrs_top10_close_loss_count,vrs_top10_map_smoothed_win_rate,vrs_top10_map_quality,vrs_top10_map_sample_log,vrs_top20_maps,vrs_top20_wins,vrs_top20_raw_win_rate,vrs_top20_smoothed_win_rate,vrs_top20_avg_round_margin,vrs_top20_avg_scoreline_quality,vrs_top20_overtime_count,vrs_top20_close_loss_count,vrs_top20_map_smoothed_win_rate,vrs_top20_map_quality,vrs_top20_map_sample_log,vrs_top30_maps,vrs_top30_wins,vrs_top30_raw_win_rate,vrs_top30_smoothed_win_rate,vrs_top30_avg_round_margin,vrs_top30_avg_scoreline_quality,vrs_top30_overtime_count,vrs_top30_close_loss_count,vrs_top30_map_smoothed_win_rate,vrs_top30_map_quality,vrs_top30_map_sample_log,vrs_top40_maps,vrs_top40_wins,vrs_top40_raw_win_rate,vrs_top40_smoothed_win_rate,vrs_top40_avg_round_margin,vrs_top40_avg_scoreline_quality,vrs_top40_overtime_count,vrs_top40_close_loss_count,vrs_top40_map_smoothed_win_rate,vrs_top40_map_quality,vrs_top40_map_sample_log,vrs_top50_maps,vrs_top50_wins,vrs_top50_raw_win_rate,vrs_top50_smoothed_win_rate,vrs_top50_avg_round_margin,vrs_top50_avg_scoreline_quality,vrs_top50_overtime_count,vrs_top50_close_loss_count,vrs_top50_map_smoothed_win_rate,vrs_top50_map_quality,vrs_top50_map_sample_log,vrs_top70_maps,vrs_top70_wins,vrs_top70_raw_win_rate,vrs_top70_smoothed_win_rate,vrs_top70_avg_round_margin,vrs_top70_avg_scoreline_quality,vrs_top70_overtime_count,vrs_top70_close_loss_count,vrs_top70_map_smoothed_win_rate,vrs_top70_map_quality,vrs_top70_map_sample_log,vrs_top100_maps,vrs_top100_wins,vrs_top100_raw_win_rate,vrs_top100_smoothed_win_rate,vrs_top100_avg_round_margin,vrs_top100_avg_scoreline_quality,vrs_top100_overtime_count,vrs_top100_close_loss_count,vrs_top100_map_smoothed_win_rate,vrs_top100_map_quality,vrs_top100_map_sample_log,vrs_bucket_1_10_maps,vrs_bucket_1_10_wins,vrs_bucket_1_10_raw_win_rate,vrs_bucket_1_10_smoothed_win_rate,vrs_bucket_1_10_avg_round_margin,vrs_bucket_1_10_avg_scoreline_quality,vrs_bucket_1_10_overtime_count,vrs_bucket_1_10_close_loss_count,vrs_bucket_11_20_maps,vrs_bucket_11_20_wins,vrs_bucket_11_20_raw_win_rate,vrs_bucket_11_20_smoothed_win_rate,vrs_bucket_11_20_avg_round_margin,vrs_bucket_11_20_avg_scoreline_quality,vrs_bucket_11_20_overtime_count,vrs_bucket_11_20_close_loss_count,vrs_bucket_21_30_maps,vrs_bucket_21_30_wins,vrs_bucket_21_30_raw_win_rate,vrs_bucket_21_30_smoothed_win_rate,vrs_bucket_21_30_avg_round_margin,vrs_bucket_21_30_avg_scoreline_quality,vrs_bucket_21_30_overtime_count,vrs_bucket_21_30_close_loss_count,vrs_bucket_31_40_maps,vrs_bucket_31_40_wins,vrs_bucket_31_40_raw_win_rate,vrs_bucket_31_40_smoothed_win_rate,vrs_bucket_31_40_avg_round_margin,vrs_bucket_31_40_avg_scoreline_quality,vrs_bucket_31_40_overtime_count,vrs_bucket_31_40_close_loss_count,vrs_bucket_41_50_maps,vrs_bucket_41_50_wins,vrs_bucket_41_50_raw_win_rate,vrs_bucket_41_50_smoothed_win_rate,vrs_bucket_41_50_avg_round_margin,vrs_bucket_41_50_avg_scoreline_quality,vrs_bucket_41_50_overtime_count,vrs_bucket_41_50_close_loss_count,vrs_bucket_51_70_maps,vrs_bucket_51_70_wins,vrs_bucket_51_70_raw_win_rate,vrs_bucket_51_70_smoothed_win_rate,vrs_bucket_51_70_avg_round_margin,vrs_bucket_51_70_avg_scoreline_quality,vrs_bucket_51_70_overtime_count,vrs_bucket_51_70_close_loss_count,vrs_bucket_71_100_maps,vrs_bucket_71_100_wins,vrs_bucket_71_100_raw_win_rate,vrs_bucket_71_100_smoothed_win_rate,vrs_bucket_71_100_avg_round_margin,vrs_bucket_71_100_avg_scoreline_quality,vrs_bucket_71_100_overtime_count,vrs_bucket_71_100_close_loss_count
100 Thieves,Ancient,2,0,0.00,11.25,-6.000000,-0.600000,0,0,27.07,11.25,1.098612,-0.600000,-6.000000,0.000000,0.000000,-0.395800,-22.833438,-7.750000,-0.079160,0.500000,34.524927,-0.229260,0.620000,0.000000,0.000000,0.000000,-0.099928,-4.050000,-0.810000,2.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,2,0,0.00,11.25,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
100 Thieves,Dust2,2,0,0.00,11.25,-7.000000,-0.593750,1,1,28.75,11.25,1.098612,-0.593750,-7.000000,0.500000,0.500000,-0.386984,-23.308125,-7.750000,-0.077397,0.500000,35.659341,-0.212454,0.620000,0.000000,1.500000,0.000000,-0.125241,-4.900000,-0.980000,4.000000,0.000000,0,0,50.00,15.00,-7.000000,-0.593750,0,0,15.00,-0.593750,0.000000,1,0,0.00,12.86,-3.000000,-0.187500,1,1,12.86,-0.187500,0.693147,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,2,0,0.00,11.25,-7.000000,-0.593750,1,1,11.25,-0.593750,1.098612,0,0,50.00,15.00,-7.000000,-0.593750,0,0,1,0,0.00,12.86,-3.000000,-0.187500,1,1,1,0,0.00,12.86,-11.000000,-1.000000,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0,0,0,50.00,15.00,-7.000000,-0.593750,0,0
100 Thieves,Inferno,1,0,0.00,12.86,-6.000000,-0.600000,0,0,29.82,12.86,0.693147,-0.600000,-6.000000,0.000000,0.000000,-0.423000,-21.171429,-3.714286,-0.042300,0.500000,36.380513,-0.201770,0.668571,0.000000,0.000000,0.000000,-0.291077,-5.000000,-0.500000,0.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,1,0,0.00,12.86,-6.000000,-0.600000,0,0,12.86,-0.600000,0.693147,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
100 Thieves,Mirage,1,0,0.00,12.86,-4.000000,-0.400000,0,0,32.34,12.86,0.693147,-0.400000,-4.000000,0.000000,0.000000,-0.237800,-22.861429,-3.714286,-0.023780,0.500000,38.078032,-0.176622,0.668571,0.000000,0.000000,0.000000,-0.194767,-1.700000,-0.170000,0.000000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,0,0,50.00,15.00,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0
100 Thieves,Nuke,2,0,0.00,11.25,-6.000000,-0.600000,0,0,26.32,11.25,1.098612,-0.600000,-6.000000,0.000000,0.000000,-0.415350,-22.494375,-7.750000,-0.083070,0.500000,34.018217,-0.236767,0.620000,0.000000,0.000000,0.000000,-0.245498,-4.500000,-0.900000,3.000000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,0,0,50.00,15.00,-6.000000,-0.600000,0,0,15.00,-0.600000,0.000000,1,0,0.00,12.86,-3.000000,-0.300000,0,0,12.86,-0.300000,0.693147,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,2,0,0.00,11.25,-6.000000,-0.600000,0,0,11.25,-0.600000,1.098612,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,1,0,0.00,12.86,-3.000000,-0.300000,0,0,1,0,0.00,12.86,-9.000000,-0.900000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0,0,0,50.00,15.00,-6.000000,-0.600000,0,0
1win,Ancient,1,1,100.00,87.14,6.000000,0.600000,0,0,72.29,87.14,0.693147,0.600000,6.000000,0.000000,0.000000,0.646200,20.001429,3.714286,0.064620,0.500000,65.047721,0.222929,0.668571,0.074286,0.000000,0.000000,0.053837,8.900000,0.890000,0.000000,0.000000,0,0,50.00,85.00,6.000000,0.600000,0,0,85.00,0.600000,0.000000,0,0,50.00,85.00,6.000000,0.600000,0,0,85.00,0.600000,0.000000,0,0,50.00,85.00,6.000000,0.600000,0,0,85.00,0.600000,0.000000,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,1,1,100.00,87.14,6.000000,0.600000,0,0,87.14,0.600000,0.693147,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,1,1,100.00,87.14,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0,0,0,50.00,85.00,6.000000,0.600000,0,0
1win,Dust2,1,0,0.00,12.86,-2.000000,-0.200000,0,1,34.30,12.86,0.693147,-0.200000,-2.000000,0.000000,1.000000,-0.156300,-20.001429,-3.714286,-0.015630,0.500000,39.404683,-0.156968,0.668571,0.000000,0.000000,0.000000,-0.017946,0.900000,0.090000,0.000000,0.000000,0,0,50.00,15.00,-2.000000,-0.200000,0,0,15.00,-0.200000,0.000000,0,0,50.00,15.00,-2.000000,-0.200000,0,0,15.00,-0.200000,0.000000,0,0,50.00,15.00,-2.000000,-0.200000,0,0,15.00,-0.200000,0.000000,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,1,0,0.00,12.86,-2.000000,-0.200000,0,1,12.86,-0.200000,0.693147,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,1,0,0.00,12.86,-2.000000,-0.200000,0,1,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0,0,0,50.00,15.00,-2.000000,-0.200000,0,0
1win,Overpass,1,0,0.00,12.86,-7.000000,-0.700000,0,0,30.29,12.86,0.693147,-0.700000,-7.000000,0.000000,0.000000,-0.547050,-20.001429,-3.714286,-0.054705,0.500000,36.694001,-0.197126,0.668571,0.000000,0.000000,0.000000,-0.062810,-4.100000,-0.410000,0.000000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,0,0,50.00,15.00,-7.000000,-0.700000,0,0,15.00,-0.700000,0.000000,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,1,0,0.00,12.86,-7.000000,-0.700000,0,0,12.86,-0.700000,0.693147,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,1,0,0.00,12.86,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0,0,0,50.00,15.00,-7.000000,-0.700000,0,0
3DMAX,Ancient,5,2,40.00,41.64,-1.200000,-0.142500,1,1,44.04,41.64,1.791759,-0.142500,-1.200000,0.200000,0.200000,0.003560,-4.872655,-4.181818,0.001780,0.500000,45.974422,-0.059638,0.083636,0.000000,0.500000,0.000000,-0.052209,-1.540000,-0.770000,6.241795,0.000000,0,0,50.00,43.00,-1.200000,-0.142500,0,0,43.00,-0.142500,0.000000,1,0,0.00,36.86,-2.000000,-0.200000,0,1,36.86,-0.200000,0.693147,3,0,0.00,28.67,-5.666667,-0.566667,0,1,28.67,-0.566667,1.386294,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,5,2,40.00,41.64,-1.200000,-0.142500,1,1,41.64,-0.142500,1.791759,0,0,50.00,43.00,-1.200000,-0.142500,0,0,1,0,0.00,36.86,-2.000000,-0.200000,0,1,2,0,0.00,32.25,-7.500000,-0.750000,0,0,2,2,100.00,57.25,5.500000,0.493750,1,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0,0,0,50.00,43.00,-1.200000,-0.142500,0,0
3DMAX,Anubis,1,0,0.00,12.86,-4.000000,-0.400000,0,0,30.42,12.86,0.693147,-0.400000,-4.000000,0.000000,0.000000,-0.268400,-21.691429,-3.714286,-0.026840,0.500000,36.783463,-0.195801,0.668571,0.000000,0.000000,0.000000,-0.272333,-5.200000,-0.520000,0.000000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,0,0,50.00,15.00,-4.000000,-0.400000,0,0,15.00,-0.400000,0.000000,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,1,0,0.00,12.86,-4.000000,-0.400000,0,0,12.86,-0.400000,0.693147,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,1,0,0.00,12.86,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0,0,0,50.00,15.00,-4.000000,-0.400000,0,0
