team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
100 Thieves,Ancient,34.52,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Dust2,35.66,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Inferno,36.38,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Mirage,38.08,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Nuke,34.02,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Ancient,65.05,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Dust2,39.40,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Overpass,36.69,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Ancient,45.97,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Anubis,36.78,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Dust2,57.84,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Inferno,47.52,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Nuke,62.79,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Ancient,36.83,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Inferno,34.21,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Overpass,38.16,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Ancient,44.42,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Dust2,36.21,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Inferno,32.02,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Mirage,63.99,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Nuke,39.42,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
