team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
100 Thieves,Ancient,6.45,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Dust2,6.50,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Inferno,8.06,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Mirage,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
100 Thieves,Nuke,6.45,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Ancient,91.94,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Dust2,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
1win,Overpass,7.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Ancient,40.50,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Anubis,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Dust2,70.15,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Inferno,42.60,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
3DMAX,Nuke,70.43,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Ancient,7.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Inferno,6.05,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9INE,Overpass,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Ancient,35.07,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Dust2,11.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Inferno,6.03,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Mirage,90.35,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Nuke,27.10,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
9z,Overpass,65.37,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Dust2,50.80,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Inferno,91.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Mirage,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
AM,Nuke,10.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Ancient,9.15,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Dust2,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Inferno,88.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Mirage,63.33,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Acend,Overpass,49.60,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Alliance,Ancient,53.20,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Alliance,Anubis,90.05,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
