event_id,stage_id,prediction_cutoff,feature_window_start,feature_window_end,feature_date,team,seed,region,score,vrs_points,hltv_maps,hltv_kd_diff,hltv_kd,hltv_rating3,hltv_source_type,recent_form_score,map_pool_score,opponent_quality_score,veto_score,roster_stability_score,lan_score,sample_confidence,sample_size_penalty,feature_score,label_window_start,label_window_end,sample_weight,format_type,game_version,round_system,source
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,GamerLegion,1,EU,1566,1566,512,-633,0.98,1.04,team_stats_all_time,4.00,,,,,,1.000,0.00,1595.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,B8,2,EU,1547,1547,689,1419,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1589.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,HEROIC,3,EU,1482,1482,514,709,1.02,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1526.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BetBoom,4,EU,1471,1471,671,1471,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1513.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BIG,5,EU,1445,1445,606,1527,1.04,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1492.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,M80,6,Americas,1417,1417,546,3726,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1482.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,MIBR,7,Americas,1402,1402,537,1787,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1447.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,SINNERS,8,EU,1379,1379,925,1376,1.02,1.05,team_stats_all_time,5.00,,,,,,1.000,0.00,1417.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,NRG,9,Americas,1375,1375,527,3370,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1440.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,TYLOO,10,Asia,1348,1348,402,1982,1.07,1.08,team_stats_all_time,8.00,,,,,,1.000,0.00,1402.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,Sharks,11,Americas,1334,1334,753,2739,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1379.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,Gaimin Gladiators,12,Americas,1319,1319,380,-456,0.98,1.04,team_stats_all_time,4.00,,,,,,1.000,0.00,1348.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,Liquid,13,Americas,1267,1267,434,778,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1309.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv
