event_id,stage_id,prediction_cutoff,feature_window_start,feature_window_end,feature_date,team,seed,region,score,vrs_points,hltv_maps,hltv_kd_diff,hltv_kd,hltv_rating3,hltv_source_type,recent_form_score,map_pool_score,opponent_quality_score,veto_score,roster_stability_score,lan_score,sample_confidence,sample_size_penalty,feature_score,label_window_start,label_window_end,sample_weight,format_type,game_version,round_system,source,base_strength_factor,seed_path_factor,hltv_rating_factor,firepower_factor,map_pool_depth_factor,sample_confidence_factor,opponent_quality_proxy_factor,roster_data_factor,overall_factor_rating,factor_score,included_factor_notes,unavailable_factor_notes,vrs_tier_map_strength,vrs_tier_map_smoothed_win_rate,vrs_tier_map_sample_log,vrs_tier_map_quality,vrs_tier_map_round_margin,vrs_tier_map_overtime_rate,vrs_tier_map_close_loss_rate,vrs_top10_map_smoothed_win_rate,vrs_top20_map_smoothed_win_rate,vrs_top30_map_smoothed_win_rate,vrs_top40_map_smoothed_win_rate,vrs_top50_map_smoothed_win_rate,vrs_top70_map_smoothed_win_rate,vrs_top100_map_smoothed_win_rate,vrs_top10_map_quality,vrs_top20_map_quality,vrs_top30_map_quality,vrs_top40_map_quality,vrs_top50_map_quality,vrs_top70_map_quality,vrs_top100_map_quality,vrs_top10_map_sample_log,vrs_top20_map_sample_log,vrs_top30_map_sample_log,vrs_top40_map_sample_log,vrs_top50_map_sample_log,vrs_top70_map_sample_log,vrs_top100_map_sample_log,vrs_opponent_adjusted_scoreline_quality,vrs_map_win_opponent_quality,vrs_map_win_sample_confidence,vrs_scoreline_sample_confidence,vrs_map_veto_credibility,vrs_map_veto_strength,vrs_pick_ban_opponent_pool_proxy,vrs_bo1_single_map_upset_risk,vrs_bo3_map_depth_strength,vrs_overtime_strong_opponent_signal,vrs_weak_opponent_close_penalty,vrs_recent_strong_opponent_score,vrs_expected_margin_residual,vrs_expected_margin_residual_confidence,vrs_team_volatility,vrs_seed_volatility_rebound
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,GamerLegion,1,EU,1566,1566,512,-633,0.98,1.04,team_stats_all_time,4.00,,,,,,1.000,0.00,1595.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,100.00,100.00,0.00,0.00,72.04,100.00,100.00,65.00,71.01,1548.26,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,56.465714,50.785714,2.174599,0.022121,0.242747,0.147991,0.194760,46.235714,44.347143,46.932857,46.410000,48.100000,50.231429,50.785714,-0.118571,-0.171798,-0.143759,-0.124111,-0.086513,-0.028005,0.022121,1.163981,1.582723,1.736457,1.832857,1.903386,2.021655,2.174599,0.141475,1.012928,5.609766,0.146865,0.492122,57.323706,0.155727,0.133816,0.169910,0.857143,0.091237,0.003723,-1.366413,-0.434746,5.147559,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,B8,2,EU,1547,1547,689,1419,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1589.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,95.27,93.33,18.18,33.58,86.07,100.00,100.00,65.00,76.19,1570.02,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,45.438571,39.588571,2.349124,-0.139641,-1.554601,0.105755,0.139486,36.958571,33.585714,34.222857,34.222857,36.091429,36.091429,38.674286,-0.199113,-0.233417,-0.253976,-0.253976,-0.206317,-0.206317,-0.153052,1.543610,1.838424,2.180050,2.180050,2.228941,2.228941,2.326745,0.037328,-6.567386,-4.529007,0.090321,0.447735,50.943770,0.078154,0.117660,0.068869,1.142857,0.020843,-0.068679,-1.983505,-0.987989,5.437427,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,HEROIC,3,EU,1482,1482,514,709,1.02,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1526.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,79.10,86.67,27.27,31.02,72.23,100.00,100.00,65.00,70.39,1545.65,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,55.051667,52.308333,2.471297,0.027192,0.229791,0.075846,0.054137,50.605000,48.051667,48.115000,49.095000,50.320000,51.528333,51.578333,-0.031250,-0.074684,-0.080400,-0.065771,-0.036818,-0.007143,0.011982,1.048595,2.063436,2.153268,2.257808,2.361375,2.398132,2.449419,0.180891,1.343371,2.614585,0.153714,0.585738,55.505224,0.115009,0.006154,0.128257,0.500000,0.009102,-0.006214,-0.376943,-0.423689,6.232756,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BetBoom,4,EU,1471,1471,671,1471,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1513.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,76.37,80.00,18.18,34.13,84.82,100.00,100.00,65.00,68.98,1539.70,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,58.425000,57.028333,2.638055,0.069473,0.732115,0.029412,0.075921,53.715000,53.465000,54.526667,55.020000,56.198333,57.240000,57.458333,-0.082525,-0.037361,0.013983,0.025526,0.055734,0.061995,0.070542,0.529675,1.745178,1.950536,2.286353,2.407086,2.500653,2.625704,0.160172,3.888461,7.028621,0.160172,0.594691,56.498316,0.109225,0.000000,0.152178,0.333333,0.052748,0.004630,-0.642101,-0.642101,5.492280,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BIG,5,EU,1445,1445,606,1527,1.04,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1492.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,69.90,73.33,27.27,41.29,80.01,100.00,100.00,65.00,68.07,1535.90,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,66.818571,68.590000,2.182323,0.230505,2.429815,0.093420,0.065643,65.112857,67.537143,67.195714,63.120000,66.128571,68.222857,69.124286,0.230505,0.320556,0.280357,0.089665,0.171726,0.247576,0.241591,0.000000,0.396084,0.898795,1.550845,1.705344,1.999309,2.171736,0.264617,9.620566,12.972310,0.173972,0.481367,61.787553,0.181567,0.112354,0.259446,0.000000,0.066824,0.043875,0.438405,0.064477,4.580392,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,M80,6,Americas,1417,1417,546,3726,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1482.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,62.94,66.67,54.55,84.85,75.08,100.00,75.00,65.00,69.86,1543.40,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,52.371667,50.675000,2.220617,-0.031419,-0.294793,0.033670,0.094517,51.325000,46.265000,47.701667,49.445000,49.483333,52.053333,51.445000,-0.109196,-0.291667,-0.153906,-0.089554,-0.079803,-0.009132,-0.011222,0.346574,1.420860,1.785736,1.914087,2.000553,2.137172,2.203057,0.086185,0.329196,2.011977,0.084569,0.605286,51.956864,0.034672,0.048820,0.096906,0.416667,0.008214,-0.037530,-1.077682,-0.697020,6.226766,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,MIBR,7,Americas,1402,1402,537,1787,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1447.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,59.20,60.00,18.18,44.38,74.29,100.00,75.00,65.00,58.60,1496.10,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,68.121667,67.533333,2.382723,0.201891,2.191198,0.091865,0.081818,62.943333,62.115000,61.406667,63.623333,63.200000,64.013333,65.755000,0.169694,0.120833,0.086632,0.158195,0.108125,0.158479,0.170337,0.414151,1.096542,1.181679,1.468807,1.592463,2.005286,2.295948,0.206687,8.526398,15.379155,0.187381,0.615381,65.553934,0.283451,0.043077,0.307583,0.250000,0.087423,0.022089,-0.103322,-0.009394,4.826564,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,SINNERS,8,EU,1379,1379,925,1376,1.02,1.05,team_stats_all_time,5.00,,,,,,1.000,0.00,1417.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,53.48,53.33,9.09,25.41,100.00,100.00,100.00,65.00,58.54,1495.85,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,58.908333,56.348333,2.656371,0.097759,0.970828,0.158284,0.140508,52.388333,50.653333,49.375000,52.661667,55.066667,53.298333,54.216667,-0.046909,-0.113424,0.056133,0.070217,0.112740,0.079661,0.068170,0.231049,1.114102,1.451247,1.809320,2.037744,2.459420,2.595330,0.112972,3.197351,6.592761,0.113943,0.599429,57.171864,0.124739,0.004889,0.206590,0.833333,0.047003,-0.000840,-0.678995,-0.640847,4.799695,0.000000
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,NRG,9,Americas,1375,1375,527,3370,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1440.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,52.49,46.67,54.55,83.07,73.41,100.00,75.00,65.00,64.70,1521.74,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,38.194286,32.098571,1.977371,-0.219549,-2.314842,0.129545,0.141837,32.147143,29.897143,31.134286,30.215714,29.882857,30.590000,32.098571,-0.301546,-0.340000,-0.265562,-0.277658,-0.287245,-0.270599,-0.219549,0.997816,1.527745,1.758803,1.794705,1.871705,1.920884,1.977371,-0.059483,-11.117641,-6.692978,0.013616,0.500000,46.067936,0.006138,0.224168,0.083417,0.571429,0.018562,-0.095288,-2.592590,-1.230260,4.120333,0.515042
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,TYLOO,10,Asia,1348,1348,402,1982,1.07,1.08,team_stats_all_time,8.00,,,,,,1.000,0.00,1402.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,45.77,40.00,36.36,62.62,60.62,100.00,65.00,65.00,54.82,1480.25,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Asia; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,58.191667,54.511667,2.014368,0.051760,0.549983,0.083333,0.053297,48.600000,49.088333,49.088333,50.013333,51.176667,49.081667,54.593333,-0.349167,-0.190972,-0.190972,-0.140139,-0.131805,-0.180797,0.041064,0.529675,0.981017,0.981017,1.194506,1.279644,1.510693,1.955231,0.046548,1.913209,7.069366,0.071586,0.613691,59.699967,0.210246,0.171708,0.211798,0.250000,0.025987,-0.030176,1.404524,0.741667,4.808332,1.202083
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,Sharks,11,Americas,1334,1334,753,2739,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1379.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,42.29,33.33,18.18,45.66,90.27,100.00,75.00,65.00,52.55,1470.73,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,52.861667,55.350000,2.219725,0.125683,1.267190,0.095581,0.129112,54.671667,53.918333,51.616667,49.616667,52.648333,55.478333,55.350000,0.125683,-0.051091,-0.217063,-0.244445,0.006093,0.124730,0.125683,0.000000,0.346574,0.529675,0.828302,1.231697,2.041278,2.219725,0.139995,2.331867,1.353140,0.084357,0.595691,53.722807,0.083727,0.106749,0.111111,0.000000,0.052523,0.025225,-0.426647,-0.533333,5.102676,1.913503
