event_id,stage_id,prediction_cutoff,feature_window_start,feature_window_end,feature_date,team,seed,region,score,vrs_points,hltv_maps,hltv_kd_diff,hltv_kd,hltv_rating3,hltv_source_type,recent_form_score,map_pool_score,opponent_quality_score,veto_score,roster_stability_score,lan_score,sample_confidence,sample_size_penalty,feature_score,label_window_start,label_window_end,sample_weight,format_type,game_version,round_system,source,base_strength_factor,seed_path_factor,hltv_rating_factor,firepower_factor,map_pool_depth_factor,sample_confidence_factor,opponent_quality_proxy_factor,roster_data_factor,overall_factor_rating,factor_score,included_factor_notes,unavailable_factor_notes,vrs_tier_map_strength,vrs_tier_map_smoothed_win_rate,vrs_tier_map_sample_log,vrs_tier_map_quality,vrs_tier_map_round_margin,vrs_tier_map_overtime_rate,vrs_tier_map_close_loss_rate,vrs_top10_map_smoothed_win_rate,vrs_top20_map_smoothed_win_rate,vrs_top30_map_smoothed_win_rate,vrs_top40_map_smoothed_win_rate,vrs_top50_map_smoothed_win_rate,vrs_top70_map_smoothed_win_rate,vrs_top100_map_smoothed_win_rate,vrs_top10_map_quality,vrs_top20_map_quality,vrs_top30_map_quality,vrs_top40_map_quality,vrs_top50_map_quality,vrs_top70_map_quality,vrs_top100_map_quality,vrs_top10_map_sample_log,vrs_top20_map_sample_log,vrs_top30_map_sample_log,vrs_top40_map_sample_log,vrs_top50_map_sample_log,vrs_top70_map_sample_log,vrs_top100_map_sample_log
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,GamerLegion,1,EU,1566,1566,512,-633,0.98,1.04,team_stats_all_time,4.00,,,,,,1.000,0.00,1595.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,100.00,100.00,0.00,0.00,72.04,100.00,100.00,65.00,71.01,1548.26,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,50.964286,50.785714,2.174599,0.022121,0.242747,0.147991,0.194760,44.711429,45.345714,45.595714,45.595714,46.424286,47.112857,50.785714,-0.184940,-0.153941,-0.138179,-0.138179,-0.121180,-0.086449,0.022121,1.236956,1.507973,1.803600,1.803600,1.831861,1.923829,2.174599
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,B8,2,EU,1547,1547,689,1419,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1589.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,95.27,93.33,18.18,33.58,86.07,100.00,100.00,65.00,76.19,1570.02,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,38.492857,39.588571,2.349124,-0.139641,-1.554601,0.105755,0.139486,35.001429,35.224286,34.854286,35.994286,37.104286,38.175714,39.588571,-0.231597,-0.211127,-0.252447,-0.216329,-0.190575,-0.177748,-0.139641,1.678533,2.014769,2.112015,2.226691,2.254428,2.284615,2.349124
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,HEROIC,3,EU,1482,1482,514,709,1.02,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1526.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,79.10,86.67,27.27,31.02,72.23,100.00,100.00,65.00,70.39,1545.65,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,52.525000,52.308333,2.471297,0.027192,0.229791,0.075846,0.054137,49.355000,43.778333,48.148333,48.250000,50.930000,51.428333,52.308333,-0.150417,-0.162879,-0.066346,-0.074028,-0.009501,0.005524,0.027192,1.299274,1.930905,2.151198,2.220159,2.366529,2.379869,2.471297
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BetBoom,4,EU,1471,1471,671,1471,1.03,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1513.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,76.37,80.00,18.18,34.13,84.82,100.00,100.00,65.00,68.98,1539.70,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,57.583333,57.028333,2.638055,0.069473,0.732115,0.029412,0.075921,53.715000,53.465000,53.388333,52.985000,54.598333,55.408333,57.028333,-0.082525,-0.037361,-0.042170,-0.015640,0.020609,0.029977,0.069473,0.529675,1.745178,1.952606,2.143233,2.324493,2.400283,2.638055
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,BIG,5,EU,1445,1445,606,1527,1.04,1.07,team_stats_all_time,7.00,,,,,,1.000,0.00,1492.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,69.90,73.33,27.27,41.29,80.01,100.00,100.00,65.00,68.07,1535.90,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,70.347143,68.590000,2.182323,0.230505,2.429815,0.093420,0.065643,65.112857,62.655714,64.047143,60.627143,62.997143,65.205714,68.590000,0.230505,0.032018,0.180952,0.059364,0.120417,0.168853,0.230505,0.000000,0.198042,1.038914,1.601162,1.762503,1.939288,2.182323
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,M80,6,Americas,1417,1417,546,3726,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1482.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,62.94,66.67,54.55,84.85,75.08,100.00,75.00,65.00,69.86,1543.40,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,50.423333,50.675000,2.220617,-0.031419,-0.294793,0.033670,0.094517,50.316667,46.265000,48.001667,49.366667,50.560000,50.258333,50.675000,-0.305093,-0.291667,-0.122222,-0.110833,-0.055799,-0.063420,-0.031419,0.645200,1.420860,1.658713,1.714791,2.087074,2.119136,2.220617
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,MIBR,7,Americas,1402,1402,537,1787,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1447.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,59.20,60.00,18.18,44.38,74.29,100.00,75.00,65.00,58.60,1496.10,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,68.925000,67.533333,2.382723,0.201891,2.191198,0.091865,0.081818,62.943333,63.691667,64.771667,63.580000,63.580000,64.635000,67.533333,0.169694,0.142396,0.162951,0.102096,0.102096,0.141776,0.201891,0.414151,1.395168,1.488437,1.767434,1.767434,2.160319,2.382723
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,SINNERS,8,EU,1379,1379,925,1376,1.02,1.05,team_stats_all_time,5.00,,,,,,1.000,0.00,1417.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,53.48,53.33,9.09,25.41,100.00,100.00,100.00,65.00,58.54,1495.85,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=EU; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,57.130000,56.348333,2.656371,0.097759,0.970828,0.158284,0.140508,52.388333,50.408333,48.213333,51.391667,50.853333,51.753333,56.348333,-0.046909,-0.192234,-0.027061,0.009982,0.007680,0.026329,0.097759,0.231049,0.876249,1.745178,1.918474,2.129418,2.372819,2.656371
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,NRG,9,Americas,1375,1375,527,3370,1.10,1.10,team_stats_all_time,10.00,,,,,,1.000,0.00,1440.00,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,52.49,46.67,54.55,83.07,73.41,100.00,75.00,65.00,64.70,1521.74,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,30.757143,32.098571,1.977371,-0.219549,-2.314842,0.129545,0.141837,31.812857,30.344286,28.844286,28.844286,31.441429,31.441429,32.098571,-0.376903,-0.303614,-0.319473,-0.319473,-0.239108,-0.239108,-0.219549,1.055740,1.616910,1.758803,1.758803,1.951325,1.951325,1.977371
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,TYLOO,10,Asia,1348,1348,402,1982,1.07,1.08,team_stats_all_time,8.00,,,,,,1.000,0.00,1402.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,45.77,40.00,36.36,62.62,60.62,100.00,65.00,65.00,54.82,1480.25,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Asia; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,54.925000,54.511667,2.014368,0.051760,0.549983,0.083333,0.053297,48.600000,47.858333,49.088333,49.088333,50.366667,47.020000,54.511667,-0.349167,-0.309028,-0.190972,-0.190972,-0.189583,-0.269271,0.051760,0.529675,0.828302,0.981017,0.981017,1.085785,1.256061,2.014368
iem_cologne_major_2026_stage1,stage1,2026-05-23,2026-05-04,2026-05-23,2026-05-23,Sharks,11,Americas,1334,1334,753,2739,1.05,1.06,team_stats_all_time,6.00,,,,,,1.000,0.00,1379.50,2026-06-02,2026-06-05,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,data/raw/hltv/iem_cologne_2026_stage1_team_metrics_2026-05-23.csv,42.29,33.33,18.18,45.66,90.27,100.00,75.00,65.00,52.55,1470.73,比赛语境：Stage 1 瑞士轮、BO1/BO3 收缩、晋级局/淘汰局 BO3 由模拟器处理; 基础实力：VRS 积分与种子路径; 近期状态/火力：HLTV Rating 3.0、K/D、每图 K-D 差，缺失时回退到 rating; 地图池代理：HLTV 地图样本量；暂不等同于真实强图或 veto 优势; 对手池代理：赛区=Americas; 阵容数据置信度：来源=team_stats_all_time,地图 veto 与 ban/pick 倾向; 单地图近期胜率与按对手排名分层的地图胜率; T/CT 阵营强度拆分; 手枪局、force-buy、eco、anti-eco 等经济局数据; 选手角色指标，例如 entry、AWP、KAST、ADR、impact、clutch; 战术风格与克制标签; 韧性状态，例如 0-5 落后、加时、图三、淘汰局、晋级局表现; 同阵容、同地图池条件下的近期交手; 赛程压力、旅行、健康、签证与替补信号,56.355000,55.350000,2.219725,0.125683,1.267190,0.095581,0.129112,54.671667,53.350000,49.961667,48.931667,50.168333,55.350000,55.350000,0.125683,0.161111,-0.026945,-0.002679,0.031071,0.125683,0.125683,0.000000,0.981017,1.279644,1.420860,1.468807,2.219725,2.219725
