event_id,stage_id,team,seed,score,region,prediction_cutoff,feature_window_start,feature_window_end,feature_date,label_window_start,label_window_end,sample_weight,format_type,game_version,round_system,source
starladder_budapest_major_2025_stage1,stage1,FaZe,1,1626,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,GamerLegion,2,1570,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Ninjas in Pyjamas,3,1474,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,B8,4,1466,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,PARIVISION,5,1455,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,fnatic,6,1451,EU,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Lynn Vision,7,1405,Asia,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Legacy,8,1394,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Imperial,9,1360,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,M80,10,1264,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,NRG,11,1263,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,The Huns,12,1260,Asia,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,FlyQuest,13,1231,Asia,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Fluxo,14,1222,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,RED Canids,15,1198,Americas,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
starladder_budapest_major_2025_stage1,stage1,Rare Atom,16,1134,Asia,2025-10-06,2025-10-06,2025-10-06,2025-10-06,2025-11-24,2025-11-27,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_10_06.md
